Home > Away,Season Start,Label,More Home than Away,HOME V AWAY,Home < Away,Number of Records,Home Attendance,Home Games,Rank,Road Attendance,Road Games,Season,Team,Total Attendance,Total Games
,1/1/2012,0,0,-39244,Road,1,381308,24,25,420552,24,2012-13,Anaheim,801860,48
,1/1/2012,0,0,-56715,Road,1,370677,24,26,427392,24,2012-13,Colorado,798069,48
,1/1/2012,0,0,-71664,Road,1,360096,24,27,431760,24,2012-13,Winnipeg,791856,48
,1/1/2012,0,0,-68090,Road,1,349558,24,28,417648,24,2012-13,Columbus,767206,48
,1/1/2012,0,0,-91355,Road,1,334165,24,29,425520,24,2012-13,Arizona,759685,48
,1/1/2017,0,0,-1927,Road,1,720165,41,19,722092,41,2017-18,Boston,1442257,82
,1/1/2012,0,0,-118326,Road,1,319362,24,30,437688,24,2012-13,NY Islanders,757050,48
Home,1/1/2011,0,1,162053,,1,882874,41,1,720821,41,2011-12,Chicago,1603695,82
Home,1/1/2011,0,1,146862,,1,872193,41,2,725331,41,2011-12,Montreal,1597524,82
Home,1/1/2011,0,1,130873,,1,837754,41,3,706881,41,2011-12,Philadelphia,1544635,82
Home,1/1/2011,0,1,100892,,1,824706,41,4,723814,41,2011-12,Detroit,1548520,82
Home,1/1/2011,0,1,69576,,1,799786,41,5,730210,41,2011-12,Toronto,1529996,82
Home,1/1/2011,0,1,83164,,1,793612,41,6,710448,41,2011-12,Ottawa,1504060,82
Home,1/1/2011,0,1,92742,,1,790849,41,7,698107,41,2011-12,Calgary,1488956,82
Home,1/1/2011,0,1,49124,,1,774250,41,8,725126,41,2011-12,Vancouver,1499376,82
Home,1/1/2011,0,1,63219,,1,771207,41,9,707988,41,2011-12,St. Louis,1479195,82
Home,1/1/2017,0,1,2852,,1,711988,41,20,709136,41,2017-18,San Jose,1421124,82
Home,1/1/2011,0,1,27283,,1,761224,41,10,733941,41,2011-12,Pittsburgh,1495165,82
Home,1/1/2011,0,1,29405,,1,760558,41,11,731153,41,2011-12,Buffalo,1491711,82
Home,1/1/2011,0,1,38212,,1,758746,41,12,720534,41,2011-12,Washington,1479280,82
Home,1/1/2011,0,1,50844,,1,757192,41,13,706348,41,2011-12,Tampa Bay,1463540,82
,1/1/2011,0,0,-13878,Road,1,745852,41,14,759730,41,2011-12,NY Rangers,1505582,82
Home,1/1/2011,0,1,69306,,1,734736,41,15,665430,41,2011-12,Los Angeles,1400166,82
Home,1/1/2011,0,1,31191,,1,728683,41,16,697492,41,2011-12,Minnesota,1426175,82
,1/1/2011,0,0,-38765,Road,1,720145,41,17,758910,41,2011-12,Boston,1479055,82
Home,1/1/2011,0,1,17336,,1,720076,41,18,702740,41,2011-12,San Jose,1422816,82
,1/1/2011,0,0,-16769,Road,1,690399,41,19,707168,41,2011-12,Edmonton,1397567,82
Home,1/1/2017,0,1,97433,,1,800214,41,3,702781,41,2017-18,Philadelphia,1502995,82
,1/1/2017,0,0,-1794,Road,1,709597,41,21,711391,41,2017-18,Nashville,1420988,82
,1/1/2011,0,0,-19441,Road,1,684324,41,20,703765,41,2011-12,Nashville,1388089,82
,1/1/2011,0,0,-43814,Road,1,681763,41,21,725577,41,2011-12,Florida,1407340,82
,1/1/2011,0,0,-58441,Road,1,657747,41,22,716188,41,2011-12,Carolina,1373935,82
,1/1/2011,0,0,-84397,Road,1,635440,41,23,719837,41,2011-12,Colorado,1355277,82
,1/1/2011,0,0,-87554,Road,1,631258,41,24,718812,41,2011-12,New Jersey,1350070,82
,1/1/2011,0,0,-116071,Road,1,615164,41,25,731235,41,2011-12,Winnipeg,1346399,82
,1/1/2011,0,0,-89041,Road,1,605171,41,26,694212,41,2011-12,Anaheim,1299383,82
,1/1/2011,0,0,-120006,Road,1,601061,41,27,721067,41,2011-12,Columbus,1322128,82
,1/1/2011,0,0,-101394,Road,1,583306,41,28,684700,41,2011-12,Dallas,1268006,82
,1/1/2011,0,0,-181951,Road,1,540838,41,29,722789,41,2011-12,NY Islanders,1263627,82
,1/1/2017,0,0,-14253,Road,1,683034,41,22,697287,41,2017-18,Columbus,1380321,82
,1/1/2011,0,0,-190014,Road,1,509241,41,30,699255,41,2011-12,Arizona,1208496,82
Home,1/1/2010,0,1,145481,,1,878356,41,1,732875,41,2010-11,Chicago,1611231,82
Home,1/1/2010,0,1,173273,,1,872193,41,2,698920,40,2010-11,Montreal,1571113,81
Home,1/1/2010,0,1,89803,,1,808328,41,3,718525,41,2010-11,Philadelphia,1526853,82
Home,1/1/2010,0,1,59708,,1,806892,41,4,747184,41,2010-11,Detroit,1554076,82
Home,1/1/2010,0,1,100868,,1,793522,41,5,692654,41,2010-11,Toronto,1486176,82
Home,1/1/2010,0,1,92682,,1,771560,40,6,678878,41,2010-11,Calgary,1450438,81
Home,1/1/2010,0,1,119761,,1,785150,41,7,665389,41,2010-11,St. Louis,1450539,82
Home,1/1/2010,0,1,71545,,1,773260,41,8,701715,41,2010-11,Vancouver,1474975,82
Home,1/1/2010,0,1,58092,,1,756568,41,9,698476,41,2010-11,Buffalo,1455044,82
,1/1/2017,0,0,-28224,Road,1,682060,41,23,710284,41,2017-18,Anaheim,1392344,82
Home,1/1/2010,0,1,68349,,1,754309,41,10,685960,40,2010-11,Washington,1440269,81
